codigo_inep;nome_curso;grau;turno;campus;area_conhecimento;area_conhecimento_vestibular;modalidade;unidade_responsavel;unidade_coordenacao
44258;ENFERMAGEM;LICENCIATURA E BACHARELADO;Matutino e Vespertino;João Pessoa;Ciências da Saúde;Área II -CIÊNCIAS BIOLÓGICAS E DA SAÚDE;Presencial;CENTRO DE CIÊNCIAS DA SAÚDE (CCS);CCS - COORDENAÇÃO DE ENFERMAGEM
113615;ENGENHARIA AMBIENTAL;BACHARELADO;Matutino e Vespertino;João Pessoa;Engenharias;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE TECNOLOGIA (CT);CT - COORDENAÇÃO DE ENGENHARIA AMBIENTAL
13429;ENGENHARIA CIVIL;BACHARELADO;Matutino e Vespertino;João Pessoa;Engenharias;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE TECNOLOGIA (CT);CT - COORDENAÇÃO DE ENGENHARIA CIVIL
1127164;ENGENHARIA DA COMPUTAÇÃO;BACHARELADO;Matutino e Vespertino;João Pessoa;Engenharias;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE INFORMÁTICA (CI);CI - COORDENAÇÃO DE ENGENHARIA COMPUTACIONAL
13428;ENGENHARIA DE ALIMENTOS;BACHARELADO;Matutino e Vespertino;João Pessoa;Engenharias;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE TECNOLOGIA (CT);CT - COORDENAÇÃO DE ENGENHARIA DE ALIMENTOS
1189063;ENGENHARIA DE ENERGIAS RENOVÁVEIS;BACHARELADO;Matutino e Vespertino;João Pessoa;Engenharias;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE ENERGIAS E ALTERNATIVAS E RENOVÁVEIS (CEAR);CEAR - COORDENAÇÃO DE ENGENHARIA DE ENERGIAS RENOVÁVEIS
113617;ENGENHARIA DE MATERIAIS;BACHARELADO;Matutino e Vespertino;João Pessoa;Engenharias;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE TECNOLOGIA (CT);CT - COORDENAÇÃO DE ENGENHARIA DE MATERIAIS
122934;ENGENHARIA DE PRODUÇÃO;BACHARELADO;Noturno;João Pessoa;Engenharias;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE TECNOLOGIA (CT);CT - COORDENAÇÃO DE ENGENHARIA DE PRODUÇÃO
19563;ENGENHARIA DE PRODUÇÃO MECÂNICA;BACHARELADO;Matutino e Vespertino;João Pessoa;Engenharias;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE TECNOLOGIA (CT);CT - COORDENAÇÃO DE ENGENHARIA DE PRODUÇÃO MECÂNICA
113609;ENGENHARIA ELÉTRICA;BACHARELADO;Matutino e Vespertino;João Pessoa;Engenharias;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE ENERGIAS E ALTERNATIVAS E RENOVÁVEIS (CEAR);CEAR - COORDENAÇÃO DE ENGENHARIA ELÉTRICA
13430;ENGENHARIA MECÂNICA;BACHARELADO;Matutino e Vespertino;João Pessoa;Engenharias;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE TECNOLOGIA (CT);CT - COORDENAÇÃO DE ENGENHARIA MECÂNICA
113604;ENGENHARIA QUÍMICA;BACHARELADO;Matutino e Vespertino;João Pessoa;Engenharias;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE TECNOLOGIA (CT);CT - COORDENAÇÃO DE ENGENHARIA QUÍMICA
43454;ESTATÍSTICA;BACHARELADO;Matutino e Vespertino;João Pessoa;Ciências Exatas e da Terra;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE CIÊNCIAS EXATAS E DA NATUREZA (CCEN);CCEN - COORDENAÇÃO DE ESTATÍSTICA
13421;FARMÁCIA;BACHARELADO;Matutino e Vespertino;João Pessoa;Ciências da Saúde;Área II -CIÊNCIAS BIOLÓGICAS E DA SAÚDE;Presencial;CENTRO DE CIÊNCIAS DA SAÚDE (CCS);CCS - COORDENAÇÃO DE FARMÁCIA
13421;FARMÁCIA;OUTRO TIPO DE GRAU ACADÊMICO;Matutino e Vespertino;João Pessoa;Ciências da Saúde;Área II -CIÊNCIAS BIOLÓGICAS E DA SAÚDE;Presencial;CENTRO DE CIÊNCIAS DA SAÚDE (CCS);CCS - COORDENAÇÃO DE FARMÁCIA
13409;FILOSOFIA;LICENCIATURA;Noturno;João Pessoa;Ciências Humanas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES (CCHLA);CCHLA - COORDENAÇÃO DE FILOSOFIA
313409;FILOSOFIA;BACHARELADO;Noturno;João Pessoa;Ciências Humanas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES (CCHLA);CCHLA - COORDENAÇÃO DE FILOSOFIA
